,teamname,rating,rd,kills,deaths,assists,ckpm,team kpm
0,Liiv SANDBOX,861.7823311778376,147.14958352296037,10.644886363636363,12.676136363636363,25.019886363636363,0.7284886363636364,0.3308088068181818
1,T1,789.8080745275163,131.12989607743393,13.453358208955224,10.402985074626866,30.96268656716418,0.7586774253731343,0.4400654850746269
2,DRX,814.6410641641974,136.70499940837442,10.940265486725664,12.300884955752212,25.57300884955752,0.7172513274336284,0.3335137168141593
3,Kwangdong Freecs,843.5444614054874,142.65601691066502,10.910526315789474,12.726315789473684,25.852631578947367,0.7137828947368421,0.32405894736842106
4,Invictus Gaming,965.907320521058,174.89604716747112,14.33108108108108,14.304054054054054,31.22972972972973,0.9640506756756756,0.4887114864864865
5,FunPlus Phoenix,954.3562701514657,171.7613202825884,14.303191489361701,12.920212765957446,33.43617021276596,0.8913547872340426,0.4746244680851064
6,LGD Gaming,966.0943753785044,174.95619382176955,12.248407643312103,13.694267515923567,29.445859872611464,0.8135292993630573,0.37951464968152865
7,LNG Esports,951.7384162121245,170.01166992627307,10.91851851851852,12.488888888888889,25.77037037037037,0.767434074074074,0.3582740740740741
8,eStar,991.4214355022266,181.7161754837439,12.663865546218487,14.92436974789916,30.285714285714285,0.8819361344537815,0.39877142857142855
9,Rogue Warriors,991.4214355022266,181.7161754837439,11.991525423728813,16.35593220338983,29.610169491525422,0.8959474576271187,0.36392457627118646
10,Oh My God,991.4214355022266,181.7161754837439,11.298387096774194,14.35483870967742,26.016129032258064,0.8251927419354839,0.35812903225806453
11,JD Gaming,921.5281177541924,162.2092926783803,14.61139896373057,11.590673575129534,34.880829015544045,0.8378113989637306,0.46821865284974096
12,Vici Gaming,1040.6832704150136,195.93819947880925,13.495049504950495,11.693069306930694,31.514851485148515,0.7996445544554456,0.4345217821782178
13,Bilibili Gaming,951.1759473643385,169.66428131766153,12.626506024096386,13.403614457831326,30.289156626506024,0.8074698795180723,0.39201987951807227
14,Dominus Esports,1085.2849809513436,209.6087686444936,10.75,15.132352941176471,24.970588235294116,0.8210161764705882,0.334185294117647
15,Victory Five,1005.9801711977145,185.75584146425604,11.452380952380953,14.119047619047619,26.793650793650794,0.8607174603174603,0.3812587301587302
16,EDward Gaming,942.8444268974722,168.3035818767069,13.915254237288135,10.943502824858758,33.20338983050848,0.7699440677966102,0.4338389830508475
17,Suning,965.8742174436474,174.7921669580702,14.251533742331288,12.723926380368098,33.22699386503067,0.844922699386503,0.45132638036809813
18,Top Esports,953.8499280913468,171.48166945373205,16.005714285714287,11.794285714285714,36.42857142857143,0.8936908571428572,0.5255817142857143
19,Team WE,977.9943070197746,177.9934632597486,13.967532467532468,12.922077922077921,33.85064935064935,0.8600746753246754,0.44713961038961036
20,Royal Never Give Up,923.1784003449062,163.05835716024976,15.600896860986547,11.708520179372197,35.762331838565025,0.8800121076233185,0.5121103139013453
21,Boavista FC,880.4011893771744,150.75884898908552,12.181818181818182,18.198347107438018,26.074380165289256,0.9760553719008265,0.381303305785124
22,Estoril Praia eSports,1190.9334120795972,244.88112217387405,11.357142857142858,17.357142857142858,26.142857142857142,0.9213857142857143,0.35368571428571427
23,For The Win Esports,867.6396042533019,148.17846576464584,15.794444444444444,12.616666666666667,35.57222222222222,0.9066255555555556,0.5130199999999999
24,EGN Esports,848.7213286315705,143.50505987959903,16.16580310880829,13.336787564766839,36.55958549222798,0.930840414507772,0.5183284974093264
25,Cidade Curiosa Esports,1110.315499217094,216.10116121678763,11.117647058823529,14.882352941176471,25.058823529411764,0.7402882352941176,0.3109705882352941
26,SAMCLAN Esports Club,1061.3755935563056,202.2485846986898,13.589285714285714,13.285714285714286,30.875,0.8180946428571428,0.4175642857142857
27,GeekCase eSports,1058.893739727172,200.4332607518035,9.583333333333334,17.555555555555557,20.944444444444443,0.8083,0.27258055555555555
28,GTZ Bulls,952.2884138222173,170.26984517256295,15.155844155844155,15.727272727272727,33.922077922077925,0.9476727272727272,0.4633688311688312
29,LUL Esports,1337.6891050238826,298.98360747180357,20.666666666666668,23.666666666666668,36.166666666666664,1.3839,0.6466500000000001
30,Team Refuse,867.6929064635535,148.325572978619,15.56875,18.51875,32.875,1.0866425,0.4889025
31,Greek Regenesis eSports,1249.4578879835499,265.9138890510941,23.642857142857142,20.857142857142858,47.92857142857143,1.4218214285714286,0.7613928571428571
32,Gamespace Mediterranean College Esports,849.159288896959,143.52045348864627,15.0,17.443181818181817,32.23295454545455,1.0142613636363635,0.46788579545454545
33,WLGaming Esports,819.0764092442855,137.5191730039731,17.690036900369005,14.560885608856088,38.708487084870846,1.0477848708487085,0.5807712177121772
34,Intrepid Fox Gaming,1041.0723883838104,196.32842482556208,17.828125,14.5,34.125,1.061196875,0.5913265625
35,Pyrsos Esports,1113.3818390077167,218.63348960390573,16.31578947368421,19.05263157894737,28.973684210526315,1.1803131578947368,0.5488947368421053
36,Laughing Coffins,1337.6891050238826,298.98360747180357,12.333333333333334,25.833333333333332,25.333333333333332,1.3347166666666668,0.4172166666666666
37,RSC Anderlecht Esports,1085.1666596111459,209.59048412458884,13.185185185185185,18.62962962962963,31.25925925925926,0.9814962962962963,0.40661111111111115
38,Brussels Guardians,1113.3818390077167,218.63348960390573,11.65,16.4,27.15,0.9233499999999999,0.37127
39,Sector One,914.4354468502995,161.04333590154363,17.396825396825395,14.936507936507937,36.23809523809524,1.0264936507936508,0.5671317460317461
40,Timeout Esports,1190.9334120795972,244.88112217387405,17.647058823529413,18.823529411764707,38.23529411764706,1.1721411764705882,0.5435588235294118
41,KV Mechelen Esports,922.5966025310074,162.69482063175693,15.283018867924529,15.69811320754717,33.632075471698116,0.9858641509433962,0.4882198113207547
42,Aethra Esports,1061.4356686205288,202.2881012554356,14.5,14.366666666666667,31.266666666666666,0.9603633333333333,0.45869666666666664
43,Valorous,1190.9334120795972,244.88112217387405,11.444444444444445,17.0,26.72222222222222,0.858688888888889,0.33979444444444445
44,Dark Horse,931.9215044301773,164.95196995643755,13.894736842105264,17.32456140350877,31.69298245614035,0.958040350877193,0.4146236842105263
45,Humanoids5,1190.9334120795972,244.88112217387405,12.333333333333334,16.666666666666668,28.72222222222222,0.8244555555555555,0.34445
46,FroztFire Team,1113.3818390077167,218.63348960390573,12.948717948717949,16.692307692307693,28.487179487179485,0.8892897435897436,0.37443846153846155
47,Furious Gaming Chile,977.7615575277047,177.906600256621,14.024096385542169,11.265060240963855,33.963855421686745,0.7496216867469879,0.41703734939759035
48,Kaos Latin Gamers,977.897865007972,178.13230863610954,12.75,13.305555555555555,30.055555555555557,0.7741638888888889,0.38132222222222223
49,Azules Esports Academy,1022.6944663911825,190.88512706613724,14.548387096774194,11.96774193548387,31.93548387096774,0.8154693548387096,0.45085806451612903
50,Rebirth eSports,889.6093464663197,154.38045470755344,13.409448818897637,13.551181102362206,31.519685039370078,0.8365692913385826,0.414396062992126
51,ACE 1,1190.9334120795972,244.88112217387405,9.5,19.27777777777778,23.22222222222222,0.8788888888888889,0.26885555555555557
52,Universidad Católica Esports,1022.6944663911825,190.88512706613724,15.32857142857143,12.057142857142857,35.24285714285714,0.8265557142857143,0.4706942857142857
53,mCon LG UltraGear,913.0619378836913,159.62648851318758,14.892561983471074,14.809917355371901,32.950413223140494,0.9689487603305785,0.4908719008264463
54,Team Echo Zulu,976.4492383778687,176.93902681616862,13.115942028985508,14.217391304347826,28.115942028985508,0.8466173913043479,0.40255072463768116
55,ad hoc gaming,1022.0771708965516,190.36587154358784,13.08955223880597,13.850746268656716,29.029850746268657,0.8357970149253732,0.40567014925373135
56,FC Schalke 04 Evolution,934.0987855659585,166.7919024819093,14.773913043478261,12.721739130434782,31.217391304347824,0.8476669565217392,0.45851391304347827
57,Unicorns of Love Sexy Edition,823.5281339426853,137.70793793977677,15.508532423208191,13.143344709897612,34.491467576791806,0.9109941979522184,0.49599249146757673
58,OP innogy eSport,1061.4356686205288,202.2881012554356,13.511627906976743,16.790697674418606,30.88372093023256,0.9659976744186046,0.4241674418604651
59,PSV Esports,991.143094481567,181.61690340351777,15.721311475409836,11.065573770491802,34.90163934426229,0.8615934426229509,0.5166573770491804
60,Team THRLL,1006.0053662493381,185.85761154977135,13.883720930232558,15.395348837209303,30.976744186046513,0.9100441860465117,0.4273441860465116
61,Misfits Premier,897.8186678042151,156.63783453115283,15.460122699386503,13.631901840490798,35.877300613496935,0.915557055214724,0.49117055214723926
62,IZI Dream,844.0550609149647,142.2318257607189,13.720430107526882,14.655913978494624,32.41935483870968,0.9115569892473118,0.44115
63,SK Gaming Prime,837.9910430502009,140.46058145086434,15.298319327731093,13.978991596638656,33.63865546218487,0.9141722689075631,0.48278235294117644
64,GamerLegion,844.7724066579119,143.40177640087938,14.313304721030043,14.459227467811159,32.93133047210301,0.9101128755364807,0.4494609442060086
65,Dynasty,948.8361522654559,167.8951832422853,14.8875,14.9,36.0125,0.9246125,0.46081374999999997
66,Berlin International Gaming,828.4738163632164,138.79610517529107,15.48068669527897,13.71244635193133,36.63090128755365,0.9344206008583691,0.5021484978540772
67,mYinsanity,1059.9725543156483,201.28290384030652,12.596153846153847,17.826923076923077,28.596153846153847,0.9833596153846155,0.38975
68,Defusekids,1147.6969649008224,230.0429720781027,12.705882352941176,10.617647058823529,28.735294117647058,0.6835941176470588,0.37631176470588235
69,GameWard,837.6900789240034,140.41510533868885,15.150684931506849,15.579908675799087,34.19634703196347,0.9797525114155251,0.48337853881278536
70,Team MCES,897.1835024872754,155.80829124652308,12.920634920634921,15.73015873015873,28.50793650793651,0.8744563492063492,0.384313492063492
71,Solary,848.4284285307612,142.76846179114727,12.9937106918239,13.836477987421384,30.333333333333332,0.8150201257861636,0.38907861635220126
72,GamersOrigin,943.0384395348625,168.69531221503146,15.212962962962964,13.694444444444445,34.5462962962963,0.8798055555555556,0.47062592592592595
73,MOUZ,830.4375217978213,140.91999973421125,15.794871794871796,13.474358974358974,34.8974358974359,0.9388602564102564,0.5144491452991453
74,EURONICS Gaming,990.9960730783891,181.52932807414305,14.547619047619047,13.392857142857142,32.404761904761905,0.8639369047619048,0.46051190476190473
75,Vitality.Bee,818.4501523891074,136.02655971907413,15.884758364312267,12.453531598513012,36.059479553903344,0.8996182156133828,0.5107386617100371
76,LDLC OL,829.3641039645031,139.8721269743347,15.816793893129772,13.946564885496183,35.69083969465649,0.9387095419847329,0.5054293893129772
77,Samsung Morning Stars,922.6870415722605,162.91681829984648,14.53211009174312,14.229357798165138,34.27522935779817,0.8988330275229358,0.4583366972477064
78,QLASH Forge,1249.4578879835499,265.9138890510941,10.214285714285714,16.285714285714285,23.285714285714285,0.8829642857142856,0.33205
79,YDN Esports,1061.8352893033236,202.6196195930991,14.545454545454545,12.954545454545455,29.545454545454547,0.897915909090909,0.46474999999999994
80,aNc Outplayed,854.2069050962166,144.30157430282685,15.823204419889503,14.795580110497237,35.574585635359114,0.9828016574585635,0.5061988950276243
81,MOBA ROG,1249.4578879835499,265.9138890510941,10.5,22.428571428571427,21.785714285714285,1.06505,0.3258142857142857
82,Racoon,1041.2428454072983,196.46276087523808,16.21794871794872,14.435897435897436,34.01282051282051,0.9298884615384616,0.4934064102564103
83,Cyberground Gaming,895.1727221941704,154.65567720440805,14.758333333333333,15.975,33.2,0.9439691666666667,0.44868166666666665
84,Campus Party Sparks,1085.443561112325,209.8018832238002,13.088235294117647,14.029411764705882,30.5,0.8877117647058824,0.4237323529411765
85,MAD Lions Madrid,897.5314255362274,156.42093714629607,12.530434782608696,13.234782608695653,28.791304347826088,0.7766060869565218,0.37576260869565214
86,S2V Esports,1005.7269747156854,185.65386290425772,11.360655737704919,13.540983606557377,26.311475409836067,0.7520934426229507,0.3451459016393442
87,eMonkeyz,990.2277424108561,181.01641629339318,10.192982456140351,15.0,24.771929824561404,0.756861403508772,0.30086315789473683
88,Team Queso,1005.7269747156854,185.65386290425772,12.223880597014926,12.462686567164178,28.82089552238806,0.7149940298507463,0.35065820895522387
89,G2 Arctic,898.0255488997037,156.80749397857738,12.375886524822695,13.312056737588652,26.95035460992908,0.776336170212766,0.3796205673758865
90,Movistar Riders,819.2226736315025,137.52610346863915,15.857142857142858,13.496031746031745,36.34920634920635,0.956975,0.5296813492063492
91,x6tence,1190.9334120795972,244.88112217387405,9.722222222222221,13.944444444444445,24.444444444444443,0.6922666666666666,0.27954444444444443
92,UCAM Tokiers,833.5470562109386,139.9951893779882,13.411167512690355,12.959390862944163,32.13705583756345,0.788758883248731,0.39916802030456855
93,Undead Gaming,881.8917911575518,152.21788774436544,13.70625,12.65,30.5125,0.80531875,0.42197375
94,Sinisters,1190.9334120795972,244.88112217387405,12.571428571428571,13.142857142857142,30.642857142857142,0.7332000000000001,0.3432142857142857
95,Nocturns Gaming,1061.6885809372386,202.5073437211262,15.019607843137255,8.156862745098039,36.21568627450981,0.683713725490196,0.4589705882352941
96,Furious Gaming Argentina,1085.2946347233215,209.67810435071468,9.743589743589743,14.897435897435898,21.435897435897434,0.7429948717948718,0.2805794871794872
